Артикул,Средняя_позиция,Дата
364671540,315.3,2025-07-25 16:59:15
382936452,372.3,2025-07-25 16:59:15
421060912,324.9,2025-07-25 16:59:15
425542423,361.0,2025-07-25 16:59:15
425577327,388.9,2025-07-25 16:59:15
439019942,563.9,2025-07-25 16:59:15
360788540,534.7,2025-07-25 17:55:41
364671540,316.0,2025-07-25 17:55:41
382936452,371.0,2025-07-25 17:55:41
421060912,327.0,2025-07-25 17:55:41
425542423,361.2,2025-07-25 17:55:41
425577327,388.6,2025-07-25 17:55:41
439019942,567.9,2025-07-25 17:55:41
360788540,571.7,2025-07-25 18:24:27
364671540,316.8,2025-07-25 18:24:27
382936452,371.0,2025-07-25 18:24:27
421060912,324.8,2025-07-25 18:24:27
425542423,361.5,2025-07-25 18:24:27
425577327,388.6,2025-07-25 18:24:27
439019942,567.9,2025-07-25 18:24:27
360788540,540.1,2025-07-25 18:46:06
364671540,316.0,2025-07-25 18:46:06
382936452,370.0,2025-07-25 18:46:06
421060912,323.4,2025-07-25 18:46:06
425542423,361.0,2025-07-25 18:46:06
425577327,387.4,2025-07-25 18:46:06
439019942,566.1,2025-07-25 18:46:06
360788540,549.6,2025-07-25 19:17:01
364671540,315.9,2025-07-25 19:17:01
382936452,360.8,2025-07-25 19:17:01
421060912,320.2,2025-07-25 19:17:01
425542423,361.5,2025-07-25 19:17:01
425577327,387.7,2025-07-25 19:17:01
439019942,566.4,2025-07-25 19:17:01
360788540,532.1,2025-07-25 20:16:01
364671540,320.2,2025-07-25 20:16:01
382936452,362.8,2025-07-25 20:16:01
421060912,317.7,2025-07-25 20:16:01
425542423,360.0,2025-07-25 20:16:01
425577327,383.8,2025-07-25 20:16:01
439019942,619.8,2025-07-25 20:16:01
360788540,530.9,2025-07-25 20:43:55
364671540,321.2,2025-07-25 20:43:55
382936452,363.2,2025-07-25 20:43:55
421060912,319.2,2025-07-25 20:43:55
425542423,359.8,2025-07-25 20:43:55
425577327,382.7,2025-07-25 20:43:55
439019942,620.6,2025-07-25 20:43:55
360788540,541.9,2025-07-25 21:46:10
364671540,320.8,2025-07-25 21:46:10
382936452,359.2,2025-07-25 21:46:10
421060912,305.5,2025-07-25 21:46:10
425542423,358.8,2025-07-25 21:46:10
425577327,379.7,2025-07-25 21:46:10
439019942,481.7,2025-07-25 21:46:10
360788540,541.1,2025-07-25 21:55:10
364671540,319.0,2025-07-25 21:55:10
382936452,359.3,2025-07-25 21:55:10
421060912,305.8,2025-07-25 21:55:10
425542423,358.8,2025-07-25 21:55:10
425577327,402.1,2025-07-25 21:55:10
439019942,481.6,2025-07-25 21:55:10
360788540,539.0,2025-07-25 22:15:21
